frame,speed_mps,dist_m,total_dist_m
908,1.01,0.02,72.93
909,0.62,0.02,72.95
910,0.91,0.02,72.97
911,1.22,0.05,73.02
912,1.59,0.05,73.07
913,1.48,0.06,73.13
914,1.18,0.04,73.17
915,0.97,0.02,73.19
916,0.82,0.04,73.23
917,1.06,0.02,73.25
918,1.29,0.04,73.3
919,1.98,0.06,73.36
920,1.91,0.09,73.45
921,1.75,0.04,73.49
922,1.06,0.05,73.54
923,0.82,0.02,73.56
924,0.56,0.01,73.57
925,0.52,0.02,73.59
926,0.59,0.02,73.61
927,0.62,0.02,73.63
928,0.86,0.02,73.65
929,0.86,0.04,73.7
930,0.83,0.02,73.72
931,0.8,0.02,73.74
932,0.67,0.04,73.78
933,1.26,0.01,73.78
934,1.85,0.08,73.86
935,2.45,0.1,73.96
936,1.94,0.07,74.03
937,1.35,0.03,74.06
938,0.89,0.04,74.1
939,0.82,0.02,74.12
940,1.0,0.02,74.14
941,1.39,0.06,74.2
942,1.97,0.06,74.26
943,2.18,0.08,74.33
944,1.78,0.08,74.41
945,2.0,0.02,74.43
946,2.01,0.1,74.53
947,2.09,0.08,74.61
948,1.76,0.03,74.64
949,1.41,0.07,74.71
950,1.37,0.05,74.76
951,1.12,0.02,74.78
952,1.28,0.04,74.82
953,2.24,0.06,74.88
954,2.43,0.12,75.0
955,2.02,0.06,75.07
956,1.01,0.02,75.09
957,0.92,0.02,75.11
958,1.44,0.05,75.16
959,2.47,0.07,75.23
960,2.23,0.12,75.35
961,2.25,0.03,75.38
962,1.35,0.07,75.45
963,2.56,0.03,75.49
964,2.92,0.15,75.64
965,4.88,0.11,75.75
966,4.8,0.23,75.98
967,4.86,0.14,76.12
968,2.9,0.12,76.23
969,2.29,0.03,76.27
970,2.45,0.08,76.35
971,2.92,0.13,76.48
972,2.97,0.08,76.56
973,2.52,0.09,76.64
974,2.07,0.09,76.73
975,1.85,0.03,76.76
976,1.75,0.06,76.83
977,3.3,0.08,76.9
978,3.3,0.19,77.09
979,3.49,0.06,77.16
980,1.93,0.1,77.25
981,1.63,0.03,77.29
982,3.14,0.03,77.32
983,3.37,0.25,77.57
984,3.93,0.06,77.62
985,3.39,0.09,77.71
986,3.28,0.19,77.91
987,2.38,0.04,77.95
988,0.51,0.0,77.95
989,0.27,0.01,77.96
990,0.34,0.02,77.98
991,0.7,0.01,77.99
992,0.56,0.04,78.03
993,0.49,0.01,78.04
994,0.27,0.0,78.04
