frame,x,y
1014,750,792
1015,770,791
1016,790,792
1017,798,793
1018,812,793
1019,823,796
1020,826,801
1021,831,803
1022,842,806
1023,847,808
1024,853,811
1025,863,814
1026,877,815
1027,887,817
1028,898,816
1029,901,816
1030,907,821
1031,923,829
1032,930,835
1033,949,838
1034,966,839
1035,972,840
1036,992,839
1037,1006,841
1038,1015,840
1039,1021,840
1040,1035,840
1041,1040,840
1042,1056,842
1043,1070,841
1044,1082,842
1045,1093,846
1046,1103,850
1047,1106,851
1048,1122,852
1049,1142,853
1050,1158,854
1051,1165,853
1052,1163,852
1053,1161,851
1054,1154,851
1055,1153,849
1056,1154,849
1057,1157,848
1058,1149,847
1059,1146,847
1060,1144,848
1061,1132,856
1062,1120,862
1063,1112,864
1064,1111,864
1065,1111,866
1066,1112,864
1067,1112,862
1068,1109,857
1069,1105,856
1070,1102,852
1071,1101,852
1072,1097,851
1073,1091,850
1074,1086,847
1075,1081,848
1076,1077,846
1077,1075,846
1078,1072,845
1079,1071,842
1080,1070,841
1081,1069,836
1082,1065,831
1083,1064,830
1084,1062,823
1085,1059,816
1086,1053,814
1087,1048,810
1088,1039,808
1089,1036,806
1090,1031,807
1091,1031,808
1092,1030,810
1093,1032,809
1094,1032,806
1095,1032,804
1096,1031,802
1097,1031,801
1098,1030,802
1099,1028,803
1100,1025,804
1101,1025,805
1102,1022,806
1103,1018,809
1104,1014,810
1105,1006,811
1106,997,811
1107,993,811
1108,982,810
1109,971,811
1110,959,813
1111,944,813
1112,934,818
1113,931,821
1114,923,827
1115,917,831
1116,909,834
1117,903,836
1118,899,839
1119,898,840
1120,892,843
1121,882,846
1122,872,850
1123,865,853
1124,858,861
1125,856,865
1126,853,875
1127,840,879
1128,827,881
1129,812,881
1130,809,882
1131,807,881
1132,809,881
1133,811,880
1134,816,878
1135,815,877
1136,814,876
1137,814,875
1138,814,874
1139,813,875
1140,814,875
1141,816,874
1142,822,872
1143,823,873
1144,827,873
1145,831,871
1146,834,871
1147,836,871
1148,836,869
1149,837,869
1150,839,866
1151,846,859
1152,850,852
1153,853,847
1154,854,844
1155,854,844
1156,857,841
1157,860,842
1158,863,841
1159,867,840
1160,869,835
1161,870,834
1162,873,836
1163,875,831
1164,875,826
1165,883,820
1166,889,815
1167,891,812
1168,894,809
1169,902,804
1170,908,801
1171,912,799
1172,924,797
1173,928,796
1174,936,797
1175,942,799
1176,948,800
1177,956,801
1178,958,802
1179,959,803
1180,960,803
1181,962,802
1182,961,799
1183,963,797
1184,973,796
1185,976,797
1186,992,795
1187,1015,793
1188,1038,794
1189,1059,792
1190,1072,791
1191,1077,791
1192,1080,790
1193,1086,791
1194,1093,789
1195,1100,786
1196,1102,785
1197,1102,783
1198,1106,783
1199,1117,782
1200,1124,781
1201,1136,780
1202,1142,778
1203,1145,779
1204,1143,775
1205,1146,769
1206,1149,763
1207,1153,757
1208,1160,748
1209,1162,745
1210,1164,744
1211,1165,743
1212,1165,740
1213,1161,738
1214,1156,738
1215,1155,738
1216,1152,739
1217,1150,740
1218,1153,740
1219,1151,741
1220,1145,742
1221,1143,741
1222,1140,740
1223,1137,740
1224,1134,741
1225,1131,743
1226,1128,747
1227,1126,748
1228,1123,752
1229,1120,757
1230,1119,764
1231,1116,767
1232,1116,770
1233,1116,771
1234,1114,771
1235,1112,772
1236,1108,775
1237,1096,781
1238,1083,787
1239,1078,791
1240,1067,798
1241,1058,807
1242,1052,815
1243,1048,818
1244,1047,818
1245,1046,819
1246,1048,819
1247,1050,816
1248,1051,817
1249,1052,815
1250,1051,815
1251,1051,814
1252,1052,815
1253,1051,815
1254,1048,814
1255,1046,813
1256,1047,813
1257,1048,812
1258,1049,813
1259,1049,817
1260,1047,819
1261,1041,822
1262,1035,821
1263,1033,820
1264,1024,820
1265,1014,820
1266,1004,820
1267,994,817
1268,987,816
1269,984,815
1270,985,814
1271,988,813
1272,989,809
1273,989,808
1274,988,806
1275,988,804
1276,985,803
1277,980,799
1278,974,796
1279,966,797
1280,958,796
1281,955,796
1282,950,798
1283,944,801
1284,938,803
1285,936,800
1286,936,799
1287,937,798
1288,939,798
1289,941,796
1290,940,797
1291,937,798
1292,934,801
1293,933,802
1294,935,805
1295,936,808
1296,936,812
1297,937,814
1298,942,817
1299,943,817
1300,945,818
1301,961,816
1302,962,815
1303,970,814
1304,984,814
1305,990,814
1306,986,815
1307,986,814
1308,1010,813
1309,1024,813
1310,1034,813
1311,1037,814
1312,1039,815
1313,1037,814
1314,1029,815
1315,1027,815
1316,1026,815
1317,1026,814
1318,1025,814
1319,1026,814
1320,1028,813
1321,1030,814
1322,1027,815
1323,1025,816
1324,1023,819
1325,1022,822
1326,1016,821
1327,1013,823
1328,1014,823
1329,1014,823
1330,1015,825
1331,1015,825
1332,1015,825
1333,1013,827
1334,1009,827
1335,1007,827
1336,1003,825
1337,993,826
1338,984,825
1339,978,825
1340,974,826
1341,973,825
1342,971,823
1343,969,820
1344,968,819
1345,968,815
1346,965,812
1347,964,811
1348,963,807
1349,962,804
1350,962,802
1351,962,803
1352,961,806
1353,961,805
1354,959,809
1355,959,812
1356,958,815
1357,959,816
1358,958,816
1359,959,815
1360,960,813
1361,963,808
1362,972,804
1363,985,798
1364,997,794
1365,1001,792
1366,1024,790
1367,1038,789
1368,1049,789
1369,1056,788
1370,1062,787
1371,1064,786
1372,1064,787
1373,1062,787
1374,1065,784
1375,1066,783
1376,1071,783
1377,1072,783
1378,1078,781
1379,1082,780
1380,1091,777
1381,1095,774
1382,1099,765
1383,1100,762
1384,1102,760
1385,1103,756
1386,1104,749
1387,1104,747
1388,1103,750
1389,1102,751
1390,1101,752
1391,1098,754
1392,1098,756
1393,1099,757
1394,1101,756
1395,1101,756
1396,1100,756
1397,1099,755
1398,1099,753
1399,1098,752
1400,1095,751
1401,1094,750
1402,1092,754
1403,1086,756
1404,1080,759
1405,1075,765
1406,1071,770
1407,1070,771
1408,1067,774
1409,1063,775
1410,1059,775
1411,1055,773
1412,1052,773
1413,1051,772
1414,1046,775
1415,1036,780
1416,1019,786
1417,1010,793
1418,1006,798
1419,1004,800
1420,1003,802
1421,1002,804
1422,1003,806
1423,1004,806
1424,1014,809
1425,1018,808
1426,1033,812
1427,1044,816
1428,1053,820
1429,1056,821
1430,1059,820
1431,1060,821
1432,1060,833
1433,1063,835
1434,1066,838
1435,1072,839
1436,1080,828
1437,1082,824
1438,1090,824
1439,1099,823
1441,1116,817
1442,1121,813
1443,1122,811
1444,1124,808
1445,1125,805
1446,1126,803
1447,1128,803
1448,1130,800
1449,1131,799
1450,1132,798
1451,1130,794
1452,1126,790
1453,1124,789
1454,1125,788
1455,1126,788
1456,1130,788
1457,1131,788
1458,1132,788
1459,1132,786
1460,1127,784
1461,1125,784
1462,1119,785
1463,1110,786
1464,1104,785
1465,1099,784
1466,1094,781
1467,1092,780
1468,1087,778
1469,1083,777
1470,1078,776
1471,1072,779
1472,1065,783
1473,1063,784
1474,1060,787
1475,1057,791
1476,1056,793
1477,1055,796
1478,1055,797
1479,1055,799
1480,1047,801
1481,1044,801
1482,1021,800
1483,1005,802
1484,998,803
1485,996,804
1486,990,805
1487,977,809
1488,965,813
1489,955,822
1490,950,828
1491,948,830
1492,942,832
1493,935,834
1494,926,837
1495,915,838
1496,904,842
1497,900,843
1498,893,847
1499,886,859
1500,884,868
1501,869,871
1502,849,873
1503,842,874
1504,836,873
1505,839,872
1506,844,872
1507,845,869
1508,844,869
1509,843,870
1510,842,870
1511,839,868
1512,839,866
1513,839,866
1514,837,866
1515,836,866
1516,836,866
1517,837,865
1518,839,864
1519,842,864
1520,844,861
1521,845,861
1522,847,858
1523,849,854
1524,854,848
1525,858,845
1526,865,840
1527,868,838
1528,871,836
1529,873,834
1530,877,837
1531,881,835
1532,885,835
1533,887,835
1534,889,834
1535,892,831
1536,894,828
1537,896,822
1538,902,816
1539,904,814
1540,908,809
1541,910,807
1542,914,803
1543,921,800
1544,931,798
1545,934,797
1546,939,797
1547,945,798
1548,948,798
1549,951,800
1550,952,799
1551,952,799
1552,953,799
1553,954,797
1554,955,795
1555,953,794
1556,950,793
1557,949,792
1558,945,790
1559,938,788
1560,928,788
1561,917,785
1562,910,785
1563,908,784
1564,903,787
1565,895,791
1566,889,795
1567,883,800
1568,878,803
1569,876,804
1570,874,805
1571,871,804
1572,865,805
1573,855,808
1574,847,812
1575,844,814
1576,838,820
1577,835,825
1578,830,830
1579,825,836
1580,816,842
1581,811,845
1582,807,852
1583,802,861
1584,797,872
1585,779,878
1586,760,881
1587,754,881
1588,754,882
1589,759,884
1590,766,883
1591,765,882
1592,761,880
1593,760,878
1594,758,878
1595,759,876
1596,761,874
1597,762,873
1598,770,873
1599,772,873
1600,776,875
1601,779,877
1602,783,881
1603,788,881
1604,792,881
1605,794,881
1606,797,879
1607,800,878
1608,798,877
1609,799,875
1610,804,870
1611,806,869
1612,813,864
1613,823,860
1614,831,855
1615,838,853
1616,842,850
1617,844,849
1618,849,849
1619,852,849
1620,856,849
1621,860,845
1622,863,842
1623,864,840
1624,868,834
1625,871,828
1626,877,823
1627,883,819
1628,890,814
1629,892,814
1630,902,813
1631,910,813
1632,914,813
1633,916,814
1634,920,816
1635,921,817
1636,921,816
1637,922,819
1638,923,820
1639,929,818
1640,934,820
1641,935,820
1642,944,820
1643,960,820
1644,977,820
1645,996,818
1646,1029,819
1647,1040,820
1648,1054,821
1649,1066,819
1650,1084,821
1651,1096,819
1652,1107,818
1653,1110,818
1654,1116,817
1655,1123,814
1656,1134,813
1657,1143,810
1658,1153,810
1659,1157,809
1660,1187,806
1661,1200,806
1662,1204,803
1663,1207,800
1664,1206,797
1665,1205,796
1666,1202,796
1667,1225,795
1668,1216,796
1669,1211,797
1670,1209,798
1671,1208,797
1672,1207,799
1674,1212,800
1675,1212,798
1676,1215,797
1677,1215,797
1678,1212,799
1679,1214,798
1680,1215,799
1681,1220,796
1682,1223,793
1683,1224,791
1684,1222,787
1685,1217,784
1686,1211,777
1687,1201,779
1688,1194,779
1689,1192,779
1690,1184,779
1691,1173,779
1692,1165,776
1693,1160,773
1694,1155,772
1695,1153,772
1696,1155,775
1697,1152,779
1698,1147,785
1699,1142,788
1700,1137,793
1701,1135,796
1702,1133,802
1703,1130,806
1704,1125,808
1705,1118,811
1706,1107,811
1707,1103,811
1708,1094,809
1709,1081,807
1710,1070,806
1711,1061,809
1712,1047,815
1713,1043,816
1714,1037,822
1715,1028,828
1716,1018,832
1717,1011,835
1718,1004,841
1719,1002,842
1720,989,843
1721,975,843
1722,952,845
1723,944,845
1724,938,860
1725,937,865
1726,926,871
1727,910,876
1728,895,884
1729,885,894
1730,859,900
1731,849,903
1732,836,905
1733,837,903
1734,843,902
1735,846,900
1736,845,899
1737,845,898
1738,846,895
1739,845,894
1740,843,893
1741,840,891
1742,838,890
1743,838,890
1744,836,892
1745,835,893
1746,833,894
1747,833,895
1748,834,895
1749,834,894
1750,837,891
1751,841,887
1752,846,885
1753,851,882
1754,855,875
1755,856,874
1756,858,870
1757,859,866
1758,860,863
1759,861,862
1760,862,860
1761,862,860
1762,861,861
1763,861,858
1764,861,855
1765,861,850
1766,863,848
1767,864,847
1768,865,845
1769,868,838
1770,870,834
1771,876,831
1772,881,827
1773,883,826
1774,891,824
1775,897,825
1776,897,825
1777,891,825
1778,886,828
1779,883,829
1780,878,829
1781,871,829
1782,860,833
1783,850,835
1784,844,834
1785,843,835
1786,844,833
1787,838,834
1788,830,833
1789,821,832
1790,811,831
1791,808,831
1792,802,828
1793,795,827
1794,789,824
1795,787,821
1796,786,820
1797,785,820
1798,787,817
1799,790,817
1800,791,814
1801,792,812
1802,791,809
1803,790,807
1804,790,805
1805,793,802
1806,798,796
1807,805,792
1808,811,793
1809,814,793
1810,817,793
1811,826,793
1812,834,793
1813,840,792
1814,844,791
1815,846,791
1816,851,791
1817,860,791
1818,877,790
1819,889,789
1820,904,786
1821,909,786
1822,913,785
1823,918,784
1824,921,782
1825,925,782
1826,933,780
1827,935,780
1828,935,779
1829,940,777
1830,950,781
1831,961,787
1832,968,792
1833,971,793
1834,975,795
1835,979,800
1836,983,804
1837,984,806
1838,992,809
1839,995,810
1840,997,810
1841,1008,811
1842,1024,808
1843,1044,806
1844,1071,805
1845,1081,806
1846,1102,807
1847,1113,806
1848,1119,805
1849,1124,807
1850,1127,807
1851,1127,807
1852,1125,810
1853,1120,812
1854,1118,814
1855,1121,814
1856,1127,814
1857,1129,815
1858,1137,814
1859,1144,812
1860,1147,810
1861,1146,810
1862,1147,814
1863,1148,816
1864,1150,818
1865,1151,821
1866,1150,825
1867,1147,826
1868,1145,826
1869,1145,826
1870,1146,826
1871,1145,825
1872,1144,824
1873,1143,823
1874,1141,822
1875,1140,822
1876,1135,821
1877,1128,822
1878,1120,821
1879,1116,820
1880,1110,817
1881,1108,817
1882,1105,819
1883,1103,819
1884,1100,817
1885,1098,813
1886,1094,807
1887,1093,804
1888,1088,803
1889,1083,801
1890,1078,799
1891,1075,797
1892,1072,796
1893,1071,796
1894,1067,796
1895,1063,797
1896,1059,796
1897,1058,798
1898,1056,797
1899,1056,797
1900,1056,796
1901,1054,796
1902,1056,795
1903,1060,796
1904,1063,796
1905,1064,797
1906,1069,799
1907,1077,802
1908,1077,806
1909,1085,810
1910,1088,812
1911,1089,812
1912,1087,813
1913,1087,814
1914,1087,815
1915,1089,815
1916,1092,816
1917,1093,816
1918,1096,816
1919,1101,822
1920,1108,828
1921,1112,833
1922,1119,837
1923,1121,838
1924,1124,841
1925,1126,842
1926,1118,845
1927,1129,851
1928,1130,858
1929,1131,860
1930,1128,864
1931,1135,868
1932,1130,870
1933,1132,871
1934,1141,870
1935,1144,870
1936,1149,868
1937,1153,866
1938,1151,862
1939,1147,863
1940,1142,860
1941,1141,859
1942,1141,858
1943,1139,855
1944,1135,853
1945,1132,854
1946,1130,858
1947,1130,859
1948,1128,863
1949,1126,868
1950,1123,870
1951,1121,868
1952,1118,869
1953,1117,869
1954,1114,868
1955,1111,868
1956,1106,868
1957,1101,867
1958,1097,868
1959,1096,868
1960,1095,869
1961,1098,869
1962,1094,869
1963,1093,867
1964,1091,863
1965,1090,862
1966,1084,859
1967,1069,855
1968,1057,851
1969,1045,847
1970,1033,843
1971,1029,842
1972,1019,840
1973,1008,837
1974,999,837
1975,992,836
1976,984,835
1977,981,836
1978,977,835
1979,972,829
1980,967,823
1981,961,819
1982,953,814
1983,951,813
1984,943,814
1985,933,819
1986,925,824
1987,914,828
1988,907,831
1989,904,832
1990,903,833
1991,900,832
1992,895,834
1993,886,833
1994,878,826
1995,875,824
1996,875,822
1997,864,822
1998,848,819
1999,826,817
2000,802,812
2001,795,810
2002,781,813
2003,777,824
2004,776,832
2005,775,840
2006,763,847
